CODE,es
NAME,Español
RPR_NAME,Realistic Population 2
RPR_DESC,Poblaciones más realistas en los edificios (según el tamaño del edificio) y necesidades de servicios.
RPR_REALPOP,Realistic Population
RPR_INF_VIS,visitantes
RPR_PCK_DEF, (por defecto)
RPR_PCK_NAM,Cálculos
RPR_PCK_LEG_NAM,Cálculos heredados de WG
RPR_PCK_LEG_DES,"Antiguos cálculos usados en versiones 1.x de este mod y en el mod original de Whitefang Greytail ""Realistic Population and Consumption mod"""
RPR_PCK_RLS_NAM,Viviendas individuales
RPR_PCK_RLS_DES,Una familia por vivienda
RPR_PCK_RLD_NAM,Duplex
RPR_PCK_RLD_DES,Dos familias por vivienda
RPR_PCK_RUH_NAM,Rascacielos estadounidense
RPR_PCK_RUH_DES,Apartamentos y condominios promedio estadounidense
RPR_PCK_REM_NAM,Apartamentos Europeos (modernos)
RPR_PCK_REM_DES,Apartamentos Europeos de media altura y pared a pared (densidad media; edificios modernos). 
RPR_PCK_REO_NAM,Apartamentos Europeos (viejo)
RPR_PCK_REO_DES,Apartamentos Europeos de media altura y pared a pared (densidad alta; edificios antiguos).
RPR_PCK_CUS_NAM,Comercio minorista estadounidense
RPR_PCK_CUS_DES,Comercio de baja densidad típico de estadounidense.
RPR_PCK_CUK_NAM,Comercio minorista del Reino Unido
RPR_PCK_CUK_DES,Comercio de baja densidad típico del Reino Unido.
RPR_PCK_CRW_NAM,Megatiendas
RPR_PCK_CRW_DES,Megatiendas y almacenes minoristas (no alimentos).
RPR_PCK_THT_NAM,Hoteles
RPR_PCK_THT_DES,Hoteles y moteles.
RPR_PCK_LFD_NAM,Servicio de comida
RPR_PCK_LFD_DES,Restaurantes y cafes.
RPR_PCK_LEN_NAM,Entretenimiento
RPR_PCK_LEN_DES,"Centros de diversión, fitness y entretenimiento."
RPR_PCK_LCN_NAM,Cines
RPR_PCK_LCN_DES,Cines y teatros.
RPR_PCK_ILG_NAM,Industria ligera
RPR_PCK_ILG_DES,Industria ligera y parques de negocios.
RPR_PCK_IMN_NAM,Manufactura
RPR_PCK_IMN_DES,Industria manufacturera
RPR_PCK_IWL_NAM,Almacenes pequeños
RPR_PCK_IWL_DES,Almacenes de distribución local - mucho almacenamiento y baja densidad de empleados
RPR_PCK_IWN_NAM,Grandes almacenes
RPR_PCK_IWN_DES,Almacenes para distribución nacional - mucho almacenamiento y muy baja densidad de empleados.
RPR_PCK_OCP_NAM,Oficinas corporativas
RPR_PCK_OCP_DES,"Oficinas coorporativas, servicios profesionales y del sector público."
RPR_PCK_OFN_NAM,Oficinas financieras
RPR_PCK_OFN_DES,Oficinas financieras; mayor densidad que las típicas oficinas corporativas
RPR_PCK_OCS_NAM,Centro de llamadas
RPR_PCK_OCS_DES,Centro de llamaads y otras oficinas hacinadas
RPR_PCK_ODT_NAM,Centros de datos
RPR_PCK_ODT_DES,Centros de datos con instalaciones en el mismo lugar
RPR_PCK_SSB_NAM,Escuela de suburbio
RPR_PCK_SSB_DES,Escuelas de suburbios
RPR_PCK_SML_NAM,MN bajo
RPR_PCK_SML_DES,Guía del Departamento de Educación de Minnesota: densidad más baja
RPR_PCK_SMM_NAM,MN medio
RPR_PCK_SMM_DES,Guía del Departamento de Educación de Minnesota: densidad media
RPR_PCK_SMH_NAM,MN alto
RPR_PCK_SMH_DES,Guía del Departamento de Educación de Minnesota: densidad más alta
RPR_PCK_SUK_NAM,Estándar en Reino Unido
RPR_PCK_SUK_DES,Estándar de planeamiento de densidad para el Reino Unido
RPR_PCK_FDF_NAM,Genérico
RPR_PCK_FDF_DES,Altura de piso estándar de 3m.
RPR_PCK_FHO_NAM,Casa independiente
RPR_PCK_FHO_DES,Viviendas residenciales independientes.
RPR_PCK_FDL_NAM,Lobbies
RPR_PCK_FDL_DES,Edificios con lobbies y/o primero pisos elevados.
RPR_PCK_FCM_NAM,Comercial
RPR_PCK_FCM_DES,"Edificios comerciales, de oficina, educación e industria con alturas de pisos mas altos."
RPR_PCK_FWH_NAM,Almacén
RPR_PCK_FWH_DES,"Almacenes minoristas, comerciales e industriales."
RPR_PCK_FHB_NAM,Almacén de estanterías elevadas
RPR_PCK_FHB_DES,Almacenes de estanterías elevadas industriales y comerciales.
RPR_PCK_FEX_NAM,Industria primaria
RPR_PCK_FEX_DES,Industria extractiva y deprocesamiento
RPR_PCK_SVE_NAM,"Escuela primaria ""vanilla"""
RPR_PCK_SVE_DES,"Escalar de acuerdo a la escuela primaria ""vanilla"""
RPR_PCK_SVH_NAM,"Escuela preparatoria ""vanilla"""
RPR_PCK_SVH_DES,"Escalar de acuerdo a la escuela preparatoria ""vanilla"""
RPR_PCK_SVC_NAM,"Escuela comunitaria ""vanilla"""
RPR_PCK_SVC_DES,"Escalar de acuerdo a la escuela comunitaria ""vanilla"""
RPR_PCK_SVA_NAM,"Escuela de artes ""vanilla"""
RPR_PCK_SVA_DES,"Escalar de acuerdo a la escuela de artes ""vanilla"""
RPR_CAT_ALL,Todas las categorías
RPR_CAT_RES,Residencial 
RPR_CAT_RLO,Residencial de baja densidad
RPR_CAT_RHI,Residencial de alta densidad
RPR_CAT_COM,Comercial
RPR_CAT_CLO,Comercial de baja densidad
RPR_CAT_CHI,Comercial de alta densidad
RPR_CAT_OFF,Oficina
RPR_CAT_GEN,Genérico
RPR_CAT_ITC,Conglomerado TI
RPR_CAT_IND,Industrial
RPR_CAT_FAR,Agricultura
RPR_CAT_FOR,    
RPR_CAT_OIL,Petróleo
RPR_CAT_ORE,Mineria
RPR_CAT_EXT,Extractor
RPR_CAT_PRO,Procesamiento
RPR_CAT_TOU,Turismo
RPR_CAT_LEI,Ocio
RPR_CAT_ORG,Productos locales y orgánicos
RPR_CAT_ECO,Tiendas ecológicas
RPR_CAT_SSH,Casas autosuficientes
RPR_CAT_ERL,Residencial ecológica baja densidad
RPR_CAT_ERH,Residencial ecológica alta densidad
RPR_CAT_SIN,Industria especializada
RPR_CAT_SCH,Escuelas
RPR_FIL_NAME,Nombre:
RPR_FIL_SET,Filtrar por configuración (ver información)
RPR_EDT_POP,Anular población
RPR_EDT_FLR,Anular pisos
RPR_FTR_ANY,Tiene un paquete de cálculo personalizado y/o no predeterminado
RPR_FTR_OVR,Anulación de población y/o piso
RPR_FTR_NDC,Tiene un paquete de cálculo no predeterminado y/o un multiplicador de población personalizado
RPR_CUS_TITLE,Ajustes personalizados
RPR_CUS_ADD,Añadir ajustes personalizados
RPR_CUS_ADD_TIP,Añade (o actualiza) un ajuste personalizado para el edificio elegido
RPR_CUS_DEL,Borra ajustes personalizados
RPR_CUS_DEL_TIP,Elimina ajustes personalizados del edificio elegido
RPR_CUS_UPD,Actualiza ajustes personalizados
RPR_ERR_ZERO,ERROR: el valor debe ser mayor que cero
RPR_ERR_INV,ERROR: valor inválido
RPR_LBL_HOM,Hogares:
RPR_LBL_JOB,Trabajos:
RPR_LBL_STU,Estudiantes:
RPR_LBL_OFF,Altura del primer piso
RPR_LBL_OFH,Altura de otros pisos
RPR_PRV_SFL,Mostrar calculo de pisos
RPR_CAL_MOD,Cálculos del mod
RPR_CAL_DEN,Densidad poblacional
RPR_CAL_BFL,Pisos construidos
RPR_CAL_FOV,Usar anulación personalizada
RPR_CAL_FLG,La selección de cálculo de piso no está disponible cuando se utilizan cálculos heredados
RPR_CAL_SAT,Guardar y aplicar a:
RPR_CAL_NBD,Solo nuevos edificios
RPR_CAL_ABD,Todos los edificios
RPR_CAL_VOL_FLR,Pisos
RPR_CAL_VOL_FLR_TIP,El número de pisos para este edificio será calculado usando la configuración anterior.
RPR_CAL_VOL_TFA,Superficie total del piso
RPR_CAL_VOL_TFA_TIP,La superficie total del edificio será calculada usando la configuración anterior.
RPR_CAL_VOL_UTS,Unidades totales
RPR_CAL_VOL_UTS_TIP,La población total (hogares y lugares de trabajo) para este edificio será calculada usando la configuración anterior.
RPR_CAL_VOL_VIS,Contador de visitantes
RPR_CAL_VOL_VIS_TIP,El número máximo de clientes soportados simultáneamente para este edificio.
RPR_CAL_VOL_PRD,Ratio de producción
RPR_CAL_VOL_PRD_TIP,Ratio de producción máximo de este edificio.
RPR_CAL_VOL_FLH,Altura de piso
RPR_CAL_VOL_FLH_TIP,"La típica altura entre piso y piso, en metros, de cada piso en este edificio (el primer piso es una opción adicional)."
RPR_CAL_VOL_FMN,Altura minima del primer piso
RPR_CAL_VOL_FMN_TIP,La altura mínima del edificio requerida para que un área del edificio cuente como si tuviera al menos un piso.
RPR_CAL_VOL_FMX,Altura extra del primer piso
RPR_CAL_VOL_FMX_TIP,La altura del primer piso se extenderá hacia arriba por esta cantidad de metros (por encima de la altura típica del piso arriba) antes de que se agreguen pisos adicionales arriba.
RPR_CAL_VOL_IGF,Ignorar primer piso
RPR_CAL_VOL_IGF_TIP,"Si se establece, el primer piso del edificio se trata como un espacio vacío (ej. un lobby o un vestíbulo) sin hogares ni trabajadores."
RPR_CAL_VOL_EPC,Area vacia (%)
RPR_CAL_VOL_EPC_TIP,Este porcentaje de cada área del piso será tratado como un area vacia y no se incluirá al calcular la cantidad de hogares o trabajadores.
RPR_CAL_VOL_EMP,Area vacia (fijo)
RPR_CAL_VOL_EMP_TIP,Una cantidad fija de espacio que se deducirá de cada área de piso antes de que se calculen los hogares o los trabajadores (tratada como área vacía).
RPR_CAL_VOL_FXP,¿Población fija?
RPR_CAL_VOL_FXP_TIP,"Si se establece, se utilizará una cifra fija para el recuento de hogares o trabajadores, independientemente del tamaño del edificio (ej., un hogar por edificio)."
RPR_CAL_VOL_UNI,Unidades
RPR_CAL_VOL_HOU,Familias
RPR_CAL_VOL_WOR,Puestos de trabajo
RPR_CAL_VOL_STU,Estudiantes
RPR_CAL_VOL_UNI_TIP,Número fijo de hogares o puestos de trabajo por edificio.
RPR_CAL_VOL_APU,Área por unidad.
RPR_CAL_VOL_APU_TIP,La superficie (en metros cuadrados) requerida para cada hogar o trabajador (después de descontar el área vacía).
RPR_CAL_VOL_MFU,Unidades multi-piso
RPR_CAL_VOL_MFU_TIP,"Si no se establece, se calcularán los recuentos de hogares o trabajadores para cada piso individual del edificio. Si se establece, solo se utilizará el total del edificio para calcular los recuentos de hogares o trabajadores."
RPR_CAL_VOL_ARA,Superficie
RPR_CAL_UNI_HOU,Casas
RPR_CAL_UNI_WOR,Trabajadores
RPR_CAL_UNI_STU,Estudiantes
RPR_CAL_HOM_CALC,Calcular casas:
RPR_CAL_HOM_CUST,Personalizar casas:
RPR_CAL_HOM_APPL,
RPR_CAL_JOB_CALC,Calcular trabajos:
RPR_CAL_JOB_CUST,Personalizar trabajos:
RPR_CAL_JOB_APPL,Trabajos aplicados:
RPR_CAL_BLD_X,Ancho edificio (m):
RPR_CAL_BLD_Z,Largo edificio (m):
RPR_CAL_BLD_Y,Altura del andamio (m):
RPR_CAL_BLD_M2,m2 por persona:
RPR_CAL_FLR_Y,Altura piso (m):
RPR_CAL_FLR_M,Modo piso
RPR_CAL_FLR,Pisos calculados:
RPR_CAL_M2,Area calculada:
RPR_CAL_OVR,(anulado)
RPR_CAL_OVM,El cálculo de la población se anula mediante la configuración manual
RPR_CAL_RICO,Ploppable RICO Revisited esta controlando los ajustes de este edificio.
RPR_CAL_CAP_OVR,Multiplicador de capacidad personalizado
RPR_CAL_CAP_DEF,Multiplicador por defecto:
RPR_CAL_SCH_PRO,
RPR_CAL_SCH_WKR,Trabajadores de escuela
RPR_CAL_SCH_WKR_TIP,
RPR_CAL_SCH_CST,Costo/mantenimiento
RPR_CAL_SCH_CST_TIP,
RPR_TIT_RDF,
RPR_TIT_CDF,
RPR_TIT_IDF,
RPR_TIT_EDF,
RPR_TIT_ODF,
RPR_TIT_SDF,
RPR_TIT_CGO,Configuración de bienes comercials
RPR_TIT_IGO,Configuración de producción industrial
RPR_TIT_EGO,Configuración de producción de extracción
RPR_TIT_OGO,Configuración de producción de oficinas
RPR_OPT_MOD,Configuración del mod
RPR_OPT_KEY,Acceso directo para panel de opciones de edificios
RPR_OPT_PRS,Presiona cualquier tecla
RPR_OPT_LEG,Heredado
RPR_OPT_CON,Consumo
RPR_OPT_LVL,Nivel
RPR_OPT_APH,Superficie por hogar (m2)
RPR_OPT_APW,Superficie por trabajador (m2)
RPR_OPT_FLR,Altura piso (m)
RPR_OPT_POW,Electricidad
RPR_OPT_WAT,Agua
RPR_OPT_SEW,Desagüe
RPR_OPT_GAR,Basura
RPR_OPT_POL,Contaminación
RPR_OPT_NOI,Ruido
RPR_OPT_MAI,Correo
RPR_OPT_PRO,Producción
RPR_OPT_WEA,Riqueza
RPR_OPT_RTD,Restablecer valores predeterminados
RPR_OPT_RTS,Revertir para guardar
RPR_OPT_SAA,Guardar y aplicar
RPR_OPT_SCH,Escuelas
RPR_OPT_SEN,Habilitar capacidad realista de estudiantes en escuelas
RPR_OPT_SEJ,"Habilitar características realistas de las escuelas (trabajos, costos) - requiere reinicio"
RPR_OPT_SDM,Multiplicador por defecto de la capacidad de escuelas
RPR_OPT_JB0,Trabajos sin formación
RPR_OPT_JB1,Trabajos con formación
RPR_OPT_JB2,Trabajos con buena formación
RPR_OPT_JB3,Trabajos con alta formación
RPR_OPT_SHE,Escuelas primarias
RPR_OPT_SHH,Institutos
RPR_OPT_SJB,Trabajos base
RPR_OPT_SJX,Trabajo extra por # de estudiantes
RPR_OPT_CRI,Crimen
RPR_OPT_CML,Multiplicador de crimen
RPR_OPT_CML_TIP,
RPR_OPT_POP,
RPR_OPT_STO,
RPR_OPT_DEF,
RPR_OPT_PSI,"Ajustes de producción, ventas e inventarios"
RPR_OPT_EDT_NAM,Nombre del paquete
RPR_OPT_SVC,Servicio
RPR_OPT_CPK,Calcular paquete
RPR_OPT_NEW,Agregar nuevo
RPR_OPT_DEL,Borrar paquete
RPR_OPT_NPK,Nuevo paquete
RPR_OPT_LDT,Habilitar el registro de depuración detallado
RPR_DEF_LGR,
RPR_DEF_LGC,
RPR_DEF_LGI,
RPR_DEF_LGO,
RPR_DEF_LTS,Este guardado
RPR_DEF_LAS,Nuevo guardado
RPR_DEF_VIS,Capacidad clientes (visitantes) 
RPR_DEF_VIS_TIP,
RPR_DEF_VNE,Nuevo método (población)
RPR_DEF_VOL,Viejo método (gran tamaño)
RPR_DEF_VMU,
RPR_DEF_VMU_TIP,
RPR_DEF_CGM,
RPR_DEF_CGM_TIP,
RPR_DEF_IDC,
RPR_DEF_IDC_TIP,
RPR_DEF_PMD,
RPR_DEF_PMD_TIP,
RPR_DEF_PRD,
RPR_DEF_PRD_TIP,
TRN_CHOICE,
TRN_SYS,
MES_CLS,
MES_DSA,
MES_PAGE,
RPR_OLD_0,
RPR_OLD_1,
RPR_OLD_2,
RPR_OLD_3,
RPR_OLD_LEG,
RPR_OLD_NEW,
RPR_ERR_FAT,
RPR_ERR_HAR,
ERR_HAR0,
ERR_HAR1,
ERR_HAR2,
ERR_HAR3,
ERR_CON0,
ERR_CON1,
RPR_ERR_CON0,
RPR_ERR_CON1,
RPR_200_0,
RPR_200_1,
RPR_200_2,
RPR_200_3,
RPR_200_4,
RPR_200_5,
RPR_200_6,
RPR_200_7,
RPR_200_8,
RPR_200_9,